school,la,urn,KS4_Outcome,OFSTED,OFSTED_Teaching,Income,Teaching,0ly,TA,Premises,Office,Catering,0ort,Energy,Learning_Resources,ICT_Resources,Consultancy,Other,Expenditure,,,,,,,,,,,,,,,,,,,,,,,,
Hayes School - Bromley,Bromley,3055407,82%, Outstanding , Outstanding ,5518.856448,0,40.75425791,0,628.9537713,765.8150852,17.63990268,13.38199513,80.90024331,133.2116788,0,21.28953771,41.36253041,5626.520681,,,,,,,,,,,,,,,,,,,,,,,,
Wallington High School for Girls,Sutton,3195405,100%, Good , Good ,5180.30303,2855.30303,39.39393939,459.8484848,287.1212121,740.9090909,25,22.72727273,75.75757576,136.3636364,103.030303,0,730.3030303,5475.757576,,,,,,,,,,,,,,,,,,,,,,,,
Townley Grammar School for Girls,Bexley,3034001,100%, Good , Good ,5247.694335,0,86.95652174,414.3610013,332.6745718,465.7444005,9.222661397,21.73913043,54.67720685,143.6100132,0,0,181.1594203,4754.940711,,,,,,,,,,,,,,,,,,,,,,,,
Wallington County Grammar School,Sutton,3195407,99%, Good , Good ,5290.149893,3126.33833,80.29978587,382.2269807,343.6830835,1021.413276,-154.1755889,59.95717345,79.22912206,250.5353319,7.494646681,0,198.0728051,5395.074946,,,,,,,,,,,,,,,,,,,,,,,,
Beaverwood School for Girls,Bromley,3055408,69%, Good , Good ,5302.641509,3140.377358,106.4150943,310.9433962,514.7169811,409.0566038,30.18867925,27.9245283,73.20754717,343.3962264,0,126.7924528,240,5323.018868,,,,,,,,,,,,,,,,,,,,,,,,
Chislehurst and Sidcup Grammar School,Bexley,3034009,100%, Good , Good ,5413.483146,2987.265918,89.88764045,263.670412,452.4344569,394.7565543,-1.498127341,48.68913858,88.38951311,534.8314607,7.490636704,80.14981273,232.9588015,5179.026217,,,,,,,,,,,,,,,,,,,,,,,,
Langley Park School for Girls,Bromley,3055412,83%, Good , Good ,5545.112782,3177.318296,117.7944862,365.914787,224.9373434,618.4210526,43.23308271,72.68170426,82.0802005,125.3132832,117.7944862,46.9924812,162.2807018,5154.761905,,,,,,,,,,,,,,,,,,,,,,,,
Greenshaw High School,Sutton,3194007,76%, Good , Good ,5584.399756,2969.530774,10.35953687,776.9652651,631.9317489,701.4015844,59.1102986,56.67276051,65.20414381,297.9890311,0,0,184.6435101,5753.808653,,,,,,,,,,,,,,,,,,,,,,,,
Sutton Grammar School for Boys,Sutton,3195404,99%, Outstanding , Outstanding ,5596.22196,3306.965762,108.6186541,302.2432113,446.2809917,858.3234947,5.903187721,22.43211334,129.8701299,198.3471074,0,0,376.6233766,5755.608028,,,,,,,,,,,,,,,,,,,,,,,,
St Catherine's Catholic School for Girls,Bexley,3035402,80%, Good , Good ,5623.584906,2940.566038,133.0188679,295.2830189,580.1886792,749.0566038,35.8490566,211.3207547,75.47169811,273.5849057,173.5849057,6.603773585,87.73584906,5562.264151,,,,,,,,,,,,,,,,,,,,,,,,
Newstead Wood School,Bromley,3055405,99%, Outstanding , Outstanding ,5642.857143,3260.617761,104.2471042,268.3397683,270.2702703,686.2934363,5.791505792,76.25482625,89.76833977,161.1969112,27.99227799,6.756756757,630.3088803,5587.837838,,,,,,,,,,,,,,,,,,,,,,,,
Hurstmere Foundation School for Boys,Bexley,3035404,61%, Good , Good ,5649.2891,3418.957346,16.11374408,467.2985782,350.7109005,490.9952607,24.64454976,16.11374408,93.83886256,392.4170616,20.85308057,78.67298578,187.6777251,5558.293839,,,,,,,,,,,,,,,,,,,,,,,,
Wilson's School,Sutton,3195400,99%, Outstanding , Outstanding ,5665.116279,3089.302326,156.2790698,0,471.627907,283.7209302,-130.2325581,6.511627907,101.3953488,496.744186,109.7674419,7.441860465,218.6046512,4909.767442,,,,,,,,,,,,,,,,,,,,,,,,
Darrick Wood School,Bromley,3055418,80%, Outstanding , Outstanding ,5680.023571,3344.136712,40.07071302,265.1738362,464.3488509,684.1484973,33.58868592,146.7295227,73.07012375,259.8703595,90.1591043,0,550.3830289,5951.679434,,,,,,,,,,,,,,,,,,,,,,,,
Rivers Academy West London,Hounslow,3134022,50%, Good , Good ,5718.80651,3280.289331,145.5696203,637.4321881,389.6925859,508.1374322,50.63291139,33.45388788,84.99095841,180.8318264,202.5316456,104.8824593,258.5895118,5877.034358,,,,,,,,,,,,,,,,,,,,,,,,
Carshalton High School for Girls,Sutton,3194002,57%, Good , Good ,5719.968799,3088.923557,0,391.575663,565.5226209,612.324493,55.38221529,41.34165367,0,284.7113885,0,1.560062402,567.8627145,5609.204368,,,,,,,,,,,,,,,,,,,,,,,,
Charles Darwin School,Bromley,3055409,69%, Good , Good ,5741.581832,3610.023493,28.97415818,486.2960063,355.5207518,599.0602976,37.5880971,54.81597494,57.94831637,205.9514487,29.75724354,0,341.4252153,5807.361002,,,,,,,,,,,,,,,,,,,,,,,,
Chadwell Heath Academy The,Redbridge,3175400,82%, Outstanding , Outstanding ,5751.597444,3121.405751,137.3801917,500,329.8722045,393.7699681,44.7284345,33.54632588,114.2172524,147.7635783,70.28753994,0,446.485623,5339.456869,,,,,,,,,,,,,,,,,,,,,,,,
Cheam High School,Sutton,3195403,75%, Outstanding , Good ,5759.071118,2716.013546,59.02273827,970.4886309,516.6908563,574.7460087,23.22206096,30.96274794,66.76342525,334.7847121,0,0,330.9143687,5623.609095,,,,,,,,,,,,,,,,,,,,,,,,
Tolworth Girls’ School and Sixth Form,Kingston upon Thames,3144011,67%, Good , Good ,5780.373832,2567.757009,216.5109034,181.4641745,458.7227414,495.3271028,33.48909657,58.41121495,77.88161994,271.0280374,0,56.85358255,418.2242991,4835.669782,,,,,,,,,,,,,,,,,,,,,,,,
Swakeleys School for Girls,Hillingdon,3125410,75%, Outstanding , Outstanding ,5785.392245,3311.091073,134.355275,438.232642,695.2209197,1036.970243,82.95761948,72.13706041,0,94.67989179,0,0,2279.531109,8145.175834,,,,,,,,,,,,,,,,,,,,,,,,
Coopers Technology College,Bromley,3055401,70%, Good , Good ,5810.344828,3385.775862,45.97701149,436.0632184,282.3275862,939.6551724,45.97701149,26.58045977,82.61494253,109.1954023,0,92.67241379,513.6494253,5960.488506,,,,,,,,,,,,,,,,,,,,,,,,
Beths Grammar School,Bexley,3035403,97%, Outstanding , Outstanding ,5810.78905,2960.547504,74.07407407,489.5330113,453.3011272,763.2850242,18.51851852,37.84219002,82.12560386,142.5120773,202.8985507,4.830917874,886.47343,6115.942029,,,,,,,,,,,,,,,,,,,,,,,,
Nower Hill High School,Harrow,3104024,68%, Outstanding , Outstanding ,5820.815451,3394.849785,130.9012876,571.3519313,847.1030043,817.5965665,41.84549356,9.656652361,115.3433476,112.6609442,0,0,207.0815451,6248.390558,,,,,,,,,,,,,,,,,,,,,,,,
Overton Grange School,Sutton,3194019,56%, Req Improve , Req Improve ,5822.605965,3383.045526,161.6954474,749.6075353,355.5729984,607.5353218,-47.88069074,69.85871272,93.40659341,215.0706436,0,62.00941915,215.855573,5865.77708,,,,,,,,,,,,,,,,,,,,,,,,
Bexley Grammar School,Bexley,3034000,99%, Outstanding , Outstanding ,5823.98317,3542.075736,4.908835905,404.628331,307.1528752,715.9887798,-2.103786816,82.74894811,72.23001403,185.1332398,84.85273492,94.67040673,373.0715288,5865.357644,,,,,,,,,,,,,,,,,,,,,,,,
Enfield Grammar School,Enfield,3085404,67%, Good , Good ,5839.749329,3472.694718,0,622.2023277,458.3706356,557.743957,72.51566697,44.76275739,0,194.2703671,0,5.371530886,262.3097583,5690.241719,,,,,,,,,,,,,,,,,,,,,,,,
Palmer Catholic Academy The,Redbridge,3174800,69%, Good , Good ,5857.594937,3664.556962,129.7468354,0,601.2658228,632.9113924,49.05063291,410.6012658,72.78481013,219.9367089,0,0,-130.5379747,5738.924051,,,,,,,,,,,,,,,,,,,,,,,,
Holy Cross School The,Kingston upon Thames,3145402,79%, Outstanding , Outstanding ,5863.539446,3156.716418,110.8742004,401.9189765,286.7803838,493.6034115,211.08742,36.24733475,86.35394456,684.434968,0,0,189.7654584,5657.782516,,,,,,,,,,,,,,,,,,,,,,,,
Bullers Wood School,Bromley,3055400,86%, Outstanding , Good ,5866.053841,3493.762311,68.28627708,447.800394,447.800394,330.9258043,151.0177282,18.38476691,66.31648063,482.6001313,0,0,386.0801051,5892.974393,,,,,,,,,,,,,,,,,,,,,,,,
Ursuline Academy Ilford The,Redbridge,3174605,85%, Good , Good ,5871.465296,3065.299486,217.2724936,623.6092545,448.1953728,830.4768638,-104.1131105,65.55269923,73.26478149,652.9562982,0,15.42416452,201.7994859,6089.737789,,,,,,,,,,,,,,,,,,,,,,,,
Park High School,Harrow,3104021,73%, Outstanding , Outstanding ,5889.705882,3389.705882,129.2892157,328.4313725,460.7843137,1004.289216,9.803921569,83.33333333,85.17156863,153.7990196,0,0,142.7696078,5787.377451,,,,,,,,,,,,,,,,,,,,,,,,
Tiffin Girls' School The,Kingston upon Thames,3144010,99%, Outstanding , Outstanding ,5895.73991,3116.591928,91.92825112,280.2690583,844.1704036,747.7578475,-16.8161435,63.90134529,93.04932735,571.7488789,0,0,366.5919283,6159.192825,,,,,,,,,,,,,,,,,,,,,,,,
Haydon School,Hillingdon,3125401,70%, Outstanding , Outstanding ,5938.886151,3169.048793,229.6697881,555.9388862,337.1118778,493.3464761,24.64268112,122.720552,68.0137999,322.8191227,0,54.21389847,946.7718088,6324.297684,,,,,,,,,,,,,,,,,,,,,,,,
Emerson Park School,Havering,3114006,69%, Good , Good ,5945.320715,3152.471083,264.9842271,659.3059937,319.6635121,723.4490011,51.52471083,59.93690852,84.12197687,427.9705573,96.7402734,0,450.0525762,6290.22082,,,,,,,,,,,,,,,,,,,,,,,,
Langley Park School for Boys,Bromley,3055402,83%, Outstanding , Good ,5953.68171,3463.182898,89.66745843,504.1567696,179.3349169,880.0475059,21.37767221,25.53444181,118.7648456,197.7434679,137.7672209,26.12826603,388.9548694,6032.660333,,,,,,,,,,,,,,,,,,,,,,,,
Shirley High School Performing Arts College,Croydon,3065407,63%, Req Improve , Req Improve ,5977.889447,3281.407035,119.5979899,408.040201,318.5929648,319.5979899,8.040201005,38.19095477,82.4120603,226.1306533,96.48241206,24.12060302,1039.19598,5961.809045,,,,,,,,,,,,,,,,,,,,,,,,
Ashmole Academy,Barnet,3025406,77%, Outstanding , Good ,5995.336442,3320.453031,15.32311792,661.5589607,474.350433,925.3830779,21.31912059,50.63291139,95.26982012,374.4170553,0,0,165.2231845,6103.930713,,,,,,,,,,,,,,,,,,,,,,,,
Vyners School,Hillingdon,3125402,74%, Good , Good ,5996.292864,3437.442076,0.926784059,632.9935125,492.1223355,420.7599629,20.3892493,24.09638554,76.92307692,529.1936979,0,0,294.7173309,5929.564411,,,,,,,,,,,,,,,,,,,,,,,,
Gumley House RC Convent School FCJ,Hounslow,3135400,71%, Good , Good ,6082.300885,3227.433628,160.1769912,661.9469027,284.0707965,721.2389381,26.54867257,91.15044248,91.15044248,208.8495575,72.56637168,7.96460177,223.0088496,5776.106195,,,,,,,,,,,,,,,,,,,,,,,,
Bishopshalt School,Hillingdon,3125400,64%, Good , Good ,6090.839107,3501.154734,130.8698999,421.8629715,327.9445727,602.7713626,70.05388761,50.03849115,80.06158584,257.8906851,92.37875289,76.98229407,284.0646651,5896.073903,,,,,,,,,,,,,,,,,,,,,,,,
Queen Elizabeth's Girls' School - Barnet,Barnet,3024208,74%, Req Improve , Req Improve ,6098.639456,3522.108844,272.1088435,220.2380952,383.5034014,801.8707483,41.66666667,76.53061224,122.4489796,246.5986395,0,0,181.122449,5868.197279,,,,,,,,,,,,,,,,,,,,,,,,
Albany The - Havering,Havering,3114038,60%, Req Improve , Req Improve ,6145.762712,3038.418079,253.1073446,633.8983051,853.1073446,462.1468927,38.4180791,46.32768362,105.0847458,633.8983051,0,0,162.7118644,6227.118644,,,,,,,,,,,,,,,,,,,,,,,,
Sacred Heart of Mary Girls' School,Havering,3115403,85%, Outstanding , Outstanding ,6177.750907,3822.249093,123.337364,486.0943168,301.0882709,731.5598549,26.60217654,26.60217654,114.8730351,240.6287787,73.76058041,0,250.3022975,6197.097944,,,,,,,,,,,,,,,,,,,,,,,,
Southborough High School,Kingston upon Thames,3144009,59%, Good , Good ,6200.564972,3322.033898,73.44632768,343.220339,454.8022599,1016.949153,-29.66101695,317.7966102,145.480226,295.1977401,0,62.14689266,269.7740113,6271.186441,,,,,,,,,,,,,,,,,,,,,,,,
Norbury Manor Business and Enterprise College for Girls,Croydon,3065406,65%, Good , Good ,6240.932642,4069.084629,549.2227979,0,52.67702936,272.0207254,208.9810017,43.17789292,104.4905009,639.8963731,37.99654577,0,60.44905009,6037.996546,,,,,,,,,,,,,,,,,,,,,,,,
Highams Park School,Waltham Forest,3205400,65%, Good , Good ,6255.54851,3396.322131,83.06911858,518.0722892,658.84591,766.6455295,64.04565631,49.4610019,0,210.5263158,131.8960051,1.902346227,261.2555485,6142.041852,,,,,,,,,,,,,,,,,,,,,,,,
Ravensbourne School The,Bromley,3055413,73%, Good , Good ,6266.803841,3430.727023,71.33058985,479.4238683,365.569273,574.7599451,15.77503429,25.37722908,92.59259259,272.2908093,31.55006859,0,197.5308642,5556.927298,,,,,,,,,,,,,,,,,,,,,,,,
Glenthorne High School,Sutton,3194011,77%, Outstanding , Outstanding ,6272.924188,3303.249097,139.3501805,488.8086643,353.0685921,794.9458484,13.71841155,69.31407942,76.53429603,366.7870036,0,57.76173285,140.7942238,5804.33213,,,,,,,,,,,,,,,,,,,,,,,,
Coopers' Company and Coborn School The,Havering,3115402,86%, Good , Good ,6295.176386,3280.777538,154.787617,300.9359251,601.1519078,537.0770338,-2.159827214,48.95608351,116.6306695,736.5010799,91.43268539,17.27861771,144.7084233,6028.077754,,,,,,,,,,,,,,,,,,,,,,,,
St Edward's Church of England School Sixth Form College,Havering,3114600,63%, Req Improve , Req Improve ,6301.636789,3586.90569,256.4302416,738.893219,519.8752923,758.3787997,9.353078722,32.73577553,98.98674981,69.36866719,108.3398285,0,271.2392829,6450.506625,,,,,,,,,,,,,,,,,,,,,,,,
Uxbridge High School,Hillingdon,3125404,45%, Req Improve , Req Improve ,6312.700965,2894.694534,106.9131833,330.3858521,663.9871383,902.733119,83.60128617,165.5948553,70.73954984,177.6527331,30.54662379,98.87459807,374.5980707,5900.321543,,,,,,,,,,,,,,,,,,,,,,,,
Christ's College Finchley,Barnet,3024211,51%, Req Improve , Req Improve ,6325.732899,3853.420195,62.97502714,460.369164,372.4212812,692.7252986,52.11726384,132.4647123,119.4353963,317.0466884,0,0,192.1824104,6255.157438,,,,,,,,,,,,,,,,,,,,,,,,
Carshalton Boys Sports College,Sutton,3194000,57%, Good , Good ,6328.358209,3202.321725,40.63018242,697.3466003,467.6616915,732.172471,174.1293532,33.99668325,82.08955224,455.2238806,0,27.36318408,800.1658375,6713.101161,,,,,,,,,,,,,,,,,,,,,,,,
Copthall School,Barnet,3024210,58%, Good , Good ,6367.753623,3244.565217,713.7681159,579.7101449,362.3188406,376.8115942,56.15942029,179.3478261,86.95652174,481.884058,79.71014493,0,270.8333333,6432.065217,,,,,,,,,,,,,,,,,,,,,,,,
Drayton Manor High School,Ealing,3075403,67%, Outstanding , Outstanding ,6382.057716,3409.033877,0,0,284.1907152,1354.454203,91.59347553,20.70263488,0,494.3538269,0,21.32998745,277.2898369,5952.948557,,,,,,,,,,,,,,,,,,,,,,,,
Claremont High School Academy Trust,Brent,3045400,75%, Outstanding , Good ,6397.234444,3901.319925,109.3651791,311.7536141,285.9836581,736.0150849,-57.82526713,326.2099309,94.28032684,345.0659962,0,0,541.1690761,6593.337524,,,,,,,,,,,,,,,,,,,,,,,,
Hall Mead School,Havering,3114000,73%, Outstanding , Outstanding ,6424.116424,3688.149688,162.1621622,692.3076923,872.1413721,808.7318087,23.90852391,165.2806653,81.08108108,456.3409563,0,7.276507277,128.8981289,7086.278586,,,,,,,,,,,,,,,,,,,,,,,,
Tiffin School (Boys),Kingston upon Thames,3145400,99%, Outstanding , Outstanding ,6427.643785,3252.319109,30.6122449,301.4842301,631.7254174,821.8923933,-1.85528757,46.38218924,96.47495362,603.8961039,37.10575139,39.88868275,283.8589981,6143.784787,,,,,,,,,,,,,,,,,,,,,,,,
St Columba's Catholic Boys' School,Bexley,3035401,65%, Good , Good ,6441.466855,3397.7433,330.0423131,612.1297602,724.9647391,599.4358251,43.7235543,121.2976023,88.85754584,270.8039492,238.3638928,135.4019746,-97.32016925,6465.444288,,,,,,,,,,,,,,,,,,,,,,,,
Bishop Ramsey,Hillingdon,3124600,78%, Outstanding , Outstanding ,6489.139179,3465.808528,54.70635559,510.8608206,320.9975865,537.4094932,14.48109413,172.9686243,86.08205953,629.9275945,0,0,309.7345133,6102.976669,,,,,,,,,,,,,,,,,,,,,,,,
Erith School,Bexley,3034022,43%, Req Improve , Req Improve ,6496.708861,3312.405063,63.29113924,649.1139241,342.278481,627.3417722,98.73417722,224.8101266,74.43037975,204.0506329,92.15189873,113.4177215,329.1139241,6131.139241,,,,,,,,,,,,,,,,,,,,,,,,
Salvatorian Roman Catholic College,Harrow,3105400,52%, Req Improve , Req Improve ,6505.509642,1878.787879,195.5922865,834.7107438,593.6639118,925.6198347,-122.5895317,59.22865014,0,196.969697,0,0,422.8650138,4984.848485,,,,,,,,,,,,,,,,,,,,,,,,
Campion School The - Hornchurch,Havering,3114700,84%, Good , Good ,6526.987242,3534.838077,125.6133464,560.3532875,828.2630029,615.3091266,84.39646712,18.64573111,83.41511286,584.8871443,0,0,-263.0029441,6172.718351,,,,,,,,,,,,,,,,,,,,,,,,
East Barnet School,Barnet,3024212,71%, Good , Good ,6547.511312,3913.273002,81.4479638,594.2684766,393.6651584,454.7511312,12.82051282,162.1417798,87.4811463,377.0739065,0,18.85369532,315.2337858,6411.010558,,,,,,,,,,,,,,,,,,,,,,,,
Hollyfield School and Sixth Form Centre The,Kingston upon Thames,3145404,60%, Req Improve , Req Improve ,6576.438849,2709.532374,0,415.4676259,296.7625899,447.8417266,7.194244604,36.8705036,67.44604317,336.3309353,21.58273381,40.4676259,248.2014388,4627.697842,,,,,,,,,,,,,,,,,,,,,,,,
Bentley Wood High School,Harrow,3104032,77%, Outstanding , Outstanding ,6605,3348,223,424,641,1152,121,74,63,90,0,0,161,6297,,,,,,,,,,,,,,,,,,,,,,,,
Queens Park Community School,Brent,3045403,51%, Good , Good ,6628.762542,4414.715719,702.3411371,858.6956522,458.1939799,767.5585284,76.08695652,26.75585284,142.9765886,193.1438127,0,135.451505,143.812709,7919.732441,,,,,,,,,,,,,,,,,,,,,,,,
